text,telicity,punctual/duritive,
"A woman and a younger girl, both wearing blue jackets and knit caps, slide down a hill on a snow sled, a dog running at their side.",stative,,
A little girl plays in a blow up pool.,atelic,duritive,
A little boy in red flowered shorts is sitting on a shovel.,atelic,duritive,
A blond man in a dress shirt and tie is standing next to a fence and smiling.,atelic,duritive,
Four children are each making a gymnastic bridge on their hands and feet.,stative,,
A man with a blue bull mask on his head walks among a crowd.,atelic,duritive,
A man and women are on a bus.,stative,,
A lonely skier enjoys the slopes on a beautiful day.,atelic,duritive,
A white dog swims with a stick.,atelic,duritive,
A man and a woman sit on rocks.,atelic,duritive,
A blond man passionately sings into the microphone.,atelic,duritive,
The local kids are having a footrace.,atelic,duritive,
A pretty lady is sitting down and opening her purse.,atelic,duritive,
Two people wearing red are sitting on a brick wall drinking coffee.,atelic,duritive,
A group of five young boys hold their fingers in their ears while one blond boy in a Florida Marlins shirt holds his hands at his side in front of a chain link fence.,atelic,duritive,
A boy in african clothing runs across a concrete wall.,atelic,duritive,
A man lays in the sand next to a cow.,atelic,duritive,
The two young boys play in a puddle on a comfortable day.,atelic,duritive,
A dog runs to catch a Frisbee on AstroTurf.,atelic,duritive,
I am going to a hotdog competition in Coney Island.,telic,duritive,
A woman in a maroon shirt and a cowboy hat is riding a brown horse.,atelic,duritive,
Four kayakers paddle through the water.,atelic,duritive,
"Three men, one wearing a hat and two who are not, are kneeling on the ground digging in the dirt surrounding a cement platform.",atelic,duritive,
Two men are practicing martial arts while wearing black robes with red stripes,atelic,duritive,
A group of elderly women gather around on a park bench.,atelic,duritive,
The woman hula hoops down the sidewalk.,atelic,duritive,
A man is working a machine that looks old.,atelic,duritive,
A young boy walks on a pipe that stretches over water.,atelic,duritive,
A football player in a gold helmet is running with a football.,atelic,duritive,
People on motorcycles ride down a street with an American flag waving.,atelic,duritive,
Two women are walking through an urban setting with camping equipment.,atelic,duritive,
"A dog shakes its head near the shore, a red ball next to it.",atelic,duritive,
A man sits on a bench with his arm around a lady.,atelic,duritive,
A man sits alone and plays a cello in front of a group of people,atelic,duritive,
A baby with red hat sits in his stroller.,atelic,duritive,
A man in a blue shirt emerges from a doorway.,telic,duritive,
Two blond young women hang out in the grass with a brown dog.,atelic,duritive,
A man prepares to enter the red building.,telic,duritive,
